question,answer
Want to go to the writing workshop with me today?,"Nah man,my writing skills is tight."
All this practice is finally paying off.,"Yes,it is.I can't believe it!"
maybe in your next life you'll have blue eyes.,but what if i'm a fish in my next life?
"Okay,what else are you thinking about?",I want to live close to home.
"oh, yeah.",put on a coat and tie.
why not?,she would laugh at me.
but bush visited some of them in the hospital once.,that's nice that he found the time to make a visit.
you can't see the end of it.,it goes on and on forever.
do your students ever talk about their jobs?,"yes, and they ask me what jobs are the best."
it looks like it may rain soon.,"yes, and i hope that it does."
i didn't even have lunch.,neither did i.
he will be a great president.,everyone likes him.
that will cost him some money.,"yes, about $7 million."
of course i will.,i just wanted to let you know what happened.
my shoes are shined.,do your socks match?
What is the color of car?,The color of car is blue
we watch people walk by with their dogs.,i guess you see lots of different dogs.
What makes you say that?,You're smart and likeable.Don't worry.
That's perfect.,I know it is.
of course you are. you ate everything on the table.,i don't like to eat leftovers.
i told her that school is fun.,did you put the letter in an envelope?
thank you. that's polite of you to ask.,some people would just pick it up.
i need pencils.,anything else?
it was the best game ever.,so tell me the final score.
you shouldn't make him wait.,i was doing my homework.
what should our flag look like?,it should have a pretty woman on it.
I have never used an ATM before.,I can show you how to use it.
"yes, you don't want to travel in winter storms.",and i want to get a big cabin with a view.
What do they do then?,"They just talk about tennis.They never even touched a racket,though."
you rolled through that stop sign back there.,but i stopped!
you have to change their diapers.,i have to feed them.
i've also been busy.,tell me what you've been doing.
"well regardless, i'm very happy that you came to see me.",i am too.
me too.,i usually eat a simple salad.
why did you do that?,i mixed them together.
How can I help you?,I want to open another account.
How much does it cost?,This costs $56
i don't know.,when did you lose it?
so it's better to save money than to have an honest election?,"well, the democratic party says it was an honest election."
Where did you get it?,I got it at a store at the mall.
You will have so much fun.,I hope so.
What's the weather like in Russia now?,"Freezing cold, and snowing."
but we just got here.,did you see the waiter's hands?
what was wrong with you?,my stomach was upset.
what are you talking about?,you know what i'm talking about.
Are you depositing cash or a check?,I want to deposit cash.
Do you have a meeting this morning?,"Yes, I do. "
i don't know.,would you like to see a movie with me and my friend?
see you soon.,goodbye.
why do you say that?,the sky is gray.
did you shine your shoes?,my shoes are shined.
are you going to be buried next to each other?,"oh, no. our ashes will be shaken into the ocean."
i would if i could find someone who makes strong pockets.,try a google search online.
"Certainly, here you are.",Thank you. What's today's special?
what did your father do?,he moved out of our house.
what tires?,the tires on the cars.
really?,his nails were black!
you're funny.,what did you say? i think i've gone deaf.
it was a great game.,what was the score at the end of the game?
How are you?,I'm fine thanks.How about you?
okay. i'll feed him right now.,you shouldn't make him wait.
do you think anyone will come to my funeral?,of course.
did you do the laundry?,"yes, i did."
shake it a couple of times.,i shook it. there is no more ink.
when i need something.,like what?
It has been really nice talking to you.,Yes. It was a great pleasure meeting you.
"so, i'll just buy another one.",you can wear this one around the house.
like what?,"like keep your left arm straight, keep your head down, and follow through."
What grade is she going to teach?,She will teach kindergarten.
what's up?,"nothing much, what's going on?"
so how do you think positive?,i think about nice things.
then it will look like new,and you save $10.
the invitation says it starts at 8:00 p.m.,has she given out a lot of invitations yet?
don't order for me. i'm not hungry.,"i'm very hungry. i'll order for you, and then i'll eat yours."
a couple of dictionaries and some textbooks.,are you crazy?
the sky looks so clean after it rains. i love it.,i understand. rain does make it smell cleaner.
not me. i want to play for the dodgers.,we have to practice every day.
What library do you suggest?,I suggest the one near my house.
uh-oh. that means that she's fat and ugly.,she's cute.
Do you have any clue who might have done this?,I have a feeling that it might have been the neighborhood kids.
did you find a spot?,"i found a spot, but someone cut in and took it from me."
you would float into the sky like a balloon.,that would be fun!
it was love at first sight?,"yes, it was love at first sight."
You read his recommendation letter?,Yeah.I couldn't resist.
"yeah, so are you planning on going?",i think so. it sounds like it's going to be a lot of fun.
"but we need new taxes to pay for highways, schools, and prisons.",we've already voted for new taxes to pay for all that stuff!
"i will chop your toes off, one by one.","honey, please. you're the only woman for me, forever. i swear it."
what did you have for breakfast?,"the usual, cereal with milk and a banana."
yes. it's on every afternoon.,what's so good about it?
"everybody loved him, all over the nation.",he helped make the yankees the best team ever.
"I have a hold on my record, because my library books were overdue.",Can't you just pay the overdue fees?
only 11 percent?,about 50 percent of the time he's traveling.
have you told her?,of course not.
what's wrong with looking pale?,people think you might be sick.
i haven't heard anything about it.,can you make it?
which one?,"""deal or no deal"""
my friend got a ticket for doing 75.,your friend was unlucky.
I'm usually busy.Whatis up?,I wanted to see if you were down to kick it.
maybe it's something in your diet.,"no, i eat the same things day after day."
How are you doing?,I am fine
so am i.,i had a long day.
"that would ruin things, i want to go so badly.","the weather in california is unpredictable, so you never know."
doesn't crime cost more than police?,"yes, it does."
Are there any sandwiches?,"No, there aren't any sandwiches left."
Would you also like to open a savings account?,That's fine.
how could that be?,"well, you can't play baseball in a rainstorm."
i've been great. what about you?,i've been good. i'm in school right now.
people need to cover their trash cans.,the police need to shoot all the bears.
What am I going to do since I haven't received the bill?,"If you haven't gotten it yet, then you should probably take that up with your post office."
I like to run around the bases.,I like to slide into the bases.
who's the greatest baseball player?,there are so many great players.
What do they say?,They say they want change.
i'm throwing a party on friday.,i didn't realize that.
Do I need to bring anything?,No.
You won't.You look stupid using incorrect grammar.,Fine.How long is the workshop?
you can sew it up or use an iron-on patch.,tell me about this patch.
except we can't afford it!,no wonder you're worried.
"Of course, the cheese with holes in it.",I never used to buy Swiss cheese.
"You have taken a lot of snaps, haven't you?",Yes. Here are the photographs.
"yes, but a puppy needs shots.",shots for what?
My classroom number is A21.,So the A is the building type.
everyone likes him.,he's a good speaker.
what do you do?,i'm a babysitter.
i enjoyed talking to you too.,we should hang out some time.
how do you know that?,i read a lot.
Are you looking for something?,I'm researching for my project.
it was nice talking to you too.,we should really hang out again.
I have a class at 7 a.m.,That is tough!My earliest class is at 9 a.m.
What do you think about this book?,I think the book is very interesting.
can I check out more than one?,Of course!It would be crazy if you could only get one book.
did you put the blue bin out on the street?,"oh, no. i forgot."
how smart are you?,i don't know. i think i'm average.
"i know what you mean, i can't wait until it's winter.",winter is great. i wish it didn't get so cold sometimes though.
the cat doesn't care about anything.,that's the way cats are.
he went to las vegas. he lost it all gambling.,i hope your mom broke up with him.
paper is flying everywhere.,this wind is dangerous for drivers.
another good deal.,but the best deal was five pounds of potatoes for 99 cents.
i didn't do anything.,"oh yes, you did."
What can I do for you?,Something happened to my window. It's broken.
do you pray to god?,occasionally.
i don't park at a store that uses metal shopping carts.,"that's a good idea, but there was a good sale at this store."
why did she leave you?,she said she didn't love me anymore.
"yes, but the red hand was blinking.",so? that's a ticket?
it shouldn't take him long to fix it.,i don't even know why we need to fix it.
your chances are very small.,but you can't win if you don't play.
i want to get a puppy for my son.,that will make him so happy.
when did you get divorced?,i got divorced two years ago.
why feel sorry for rich people?,i feel sorry for anyone who loses their home.
did he say what time?,yes. he said he'd be here at 9 o'clock.
that's disgusting.,and he poured water into our glasses.
where is pasadena?,it's in california.
look in the fridge.,i'm looking. there's nothing to eat.
you didn't read about the company first?,i didn't have to. it's been in business for 60 years.
i'd rather not.,why not?
he never wins your money?,"nope, and it drives him crazy."
that was nice of you.,"she asked me how she could return the favor, so i asked her out."
i think i know who you're talking about.,have you seen her?
What is your feeling?,I am feeling great
who knows? but there must be a hundred new ones every day.,"yes, just in english alone."
they like guys with new cars.,i don't have money or a new car.
Can you come back tomorrow?Your daily computer limit time is up.,I don't have a computer at home.
maybe it's the wrong tree.,"no, this is the tree."
a little cigarette controls them.,they look so stupid taking a puff.
"yes, we need a relaxed president who thinks clearly.",do any other world leaders have a basketball court?
so how have you been lately?,i've actually been pretty good. you?
i have to walk the dog.,what kind of dog do you have?
no. the teacher doesn't permit calculators.,how about a dictionary?
yes. that's why it's also the best hamburger in town.,a great burger and great service.
of course. he stops the fastest cars.,my friend got a ticket for doing 75.
okay. i did something.,what did you do?
give me a hug.,i'm not in the mood.
but that's what pockets are for.,you should carry them in a purse.
i'm not in the mood.,what's the matter?
how long did it take?,it took us all day.
because you're thinking too much.,so i should stop thinking?
Can I ask you a few personal questions?,Certainly. 
College is so boring.All I do is go to class.,You should join some clubs.
"yeah, but i'm still waiting for my invitation.",oh really? she gave me mine earlier today.
why did you get divorced?,my wife left me.
Is the library open on Saturdays?,Yes.
excuse me.,yes?
What building is it in?,It's in the C building.
especially on toast.,"and the pickles were great, too."
Did you dry everything in the dryer?,"Yes, I dried everything in the dryer."
"when i have time, i sometimes draw and paint.","oh, you actually do that?"
"yes, he's 6 feet tall, 200 pounds, black hair, and about 30 years old.",what race is he?
i can't wait till i grow up.,what will you do?
that was a long time ago.,it was before i was born.
what's your mailing address?,"456 cherry drive, pasadena, ca 91170."
look at these marks on my arms.,what are they?
and then i made lunch.,i'll bet you were hungry!
yes. i still can't believe our city council allowed this building.,they're probably getting something under the table.
you must be joking.,"no, i'm serious."
What is your account number?,"I don't have my account number with me,but my phone number is 310-865-9274."
i was writing a letter.,who were you writing to?
i can't wait until i graduate.,me too.
"good afternoon, officer.","your driver's license and registration, please."
yes.,is it beautiful?
i got a dent in the parking lot.,how did you get it?
"you think so, how come?","well, superbad is super funny."
"no, my hard drive is easy to remove and replace.",really?
have you heard the news?,i haven't heard anything.
then why did the lifeguard dive into the water?,i think he wanted to cool off.
how about this table?,"no, it's too close to the front door."
your day was just like mine.,of course it was. we work together!
"yes, he made the home run popular.","everybody loved him, all over the nation."
why?,because you don't want to smell bad.
he's a famous artist.,he drew two butterflies and a flower on a napkin in a restaurant.
What should I think about in choosing services?,There are websites that will figure out what coverage is right for you.
what did you say to her?,"i had two pineapples in my cart, and she asked where i had found them."
or we can go to the ocean.,let's go to the lake.
did you go to the 99 cents store?,"yes, i did."
let me help you.,"what does ""mi"" mean?"
that sounds like a dream job.,"it was, until one day my manager caught me."
that means it will get hotter.,i am dying from the heat.
i like the different instruments that they use.,that's a good reason to like something.
I want sheets without stains on them.,"From now on, let's bring our own sheets."
what's the matter with green eyes?,"nothing, except my favorite color is blue."
were you jaywalking?,"no, i was in the crosswalk."
"Okay,but I only have enough for three beers.",It is fine.I'll pay for the rest
what's happening?,"not a lot, what about you?"
what's going on with you?,fine. what's going on with you?
that must have made you feel really special.,"oh, it did. there were about 300 people there to honor us."
i've called you a hundred times today.,i was busy doing something. i apologize.
How about going to see a movie?,That sounds like a good idea. 
"no, a real breakfast.",bacon and eggs?
of course. what else?,"we need cheese, bread, and ham."
"every time we eat out, it's an adventure.","last time, we got seats next to the kitchen."
"yes, it will only take about 30 minutes.",okay. teach me how to play.
my stomach was upset.,do you feel better now?
"okay, i'll get a bucket.",i'll rinse the car first.
that will make him so happy.,i'll get him one of those little dogs.
can't you report him to his supervisor?,"of course not. if i do that, i'll lose my job."
but that's what most people do.,"yes, i guess most of us are stuck in a routine."
of course not.,why not?
what's so hard about golf?,there are so many things you have to do right.
Do you know which bus I can take to PCC?,Tell me where you need to get on at.
What do you like doing in your spare time?,I like hanging out downtown with my friends.
people today don't like that.,"no, today people like lots of action."
there's no food in the woods.,can't they eat grass?
the ocean is so big.,you can't see the end of it.
"so then, why don't you just go?",i don't want to see a movie by myself.
i wish my eyes were blue.,what's the matter with green eyes?
what's this stain?,i don't know.
Did you put the tape there?,"No,it was there before."
because i watch the other players.,what do you mean?
maybe you should use an electric shaver.,"they make a lot of noise, but they don't give a close shave."
can you fix a dripping faucet in a kitchen sink?,of course.
you met a girl at the supermarket?,she was standing behind me in a really slow line at the checkout counter.
what did you do?,i got out of my car.
i would love to catch a movie this weekend.,"so then, why don't you just go?"
i can't believe we haven't seen any animals.,thank goodness! i don't want to see any wild animals.
our tv remote is filthy.,"yes, it's covered with crud."
is it going to be perfect beach weather?,i believe so.
How can I help you?,I was hoping that the apartment on Main Street was still available.
"Saddest thing ever,right?",Yes.You know what?Take a week off school.
"i'm sure i'll like it, too.",you should try riding a mule on a trail to the bottom.
i wish it was a nicer day today.,that is true. i hope it doesn't rain.
"if more people donate money, pbs could offer new shows.",who wants to donate? public tv should be free.
What's that?,People talk about current events.
"well, it's your life.",you eat too much chocolate.
you should wet your shirt immediately.,why?
i haven't heard anything.,"my boss offered me a promotion, and i took it."
then he didn't bother to apologize.,that's rude.
i turned up the volume.,"that's not what i meant by ""do something."""
will you go and visit them?,of course i will.
"okay, let's go see a movie.",until then.
winter is great. i wish it didn't get so cold sometimes though.,i would rather deal with the winter than the summer.
how much is that?,"that's about $30,000."
"yes, i did.",did you tell her about school?
Put yourself in my shoes.,"I have been a student once,and I think my policy is fair."
i'll put a glove in each pocket.,we'll get warmer as we walk.
it isn't easy to see.,but it's real easy to slip on.
It is called How to Write Well.,"Dude, someone is selling that book for $30."
you didn't?,nobody has told me anything about your party.
What is for dinner?,I should be asking you that.
would you like to go to dinner or something?,"yeah, let's do that."
maybe we should honk the horn next time.,the driver will just honk back at us.
i was unable to make it.,you should have been there. it was intense.
That is true.What do you do for fun then?,There is a lot of stuff to do around campus.
why not?,because you'll have an accident. most accidents are because people are in a hurry.
you know i don't like crowds.,let's go to an early movie.
is that a tv show?,yes. it's on every afternoon.
"no, the white walk sign was blinking.",you should fight that ticket. i'll be your witness.
You might want to buy a pair.,I'll wait until I wear this pair out
are you ready?,ready for what?
Hello darling!Did you have a good day today?,It was okay.
you do? i just bought this outfit a couple days ago.,"seriously, it looks really nice on you. where did you buy it from?"
i've been pretty busy myself.,so what have you been up to?
i can't read my book.,turn on the light.
no pets are allowed.,perfect. we don't have to listen to barking dogs.
i didn't hear anything about it.,can you go?
Do you know how to get there?,yes i know
i would if i had the money.,"well, i guess you have to live with it."
it was before i was born.,now a stamp is 42 cents.
i've got a date for you.,"oh, really?"
sunday is mother's day.,this sunday?
"that's right, it really would be.",i want it to cool down some.
The library will be closing at six.,Does it close at six every day?
i think i'm going to explode.,just hold on.
"yes, i've passed all my tests.",do you ever pray for money?
what did they say?,they said i need a new hard drive.
"no, i haven't.",i got a promotion at my job.
i hope so. i have to go to the bathroom.,"well, i can always pull over."
what are you going to do with an english major?,i'm going to be a teacher.
i'm still feeling a little sick.,"i'm going to the store, would you like any pepto bismol?"
did he speak to every family that lost a soldier?,"no, he didn't have time to do that."
it's not bad. there are a lot of people there.,good luck with that.
i washed the sheets and towels.,what about the pillowcases?
i have to clean the house.,"yes, it's very dirty."
he might want to cut you open.,he might say i'm okay.
These puppies are truly worth it.,I wouldn't lose a single minute with them
i hate looking for an apartment.,"me, too."
What are you talking about? I was sick yesterday.,I don't care.
you don't like pretty women?,of course i do. but not on our flag!
Great!I'm just glad we're not eating dining hall food.,Me too.Let us go!
i guess he really liked his new girlfriend.,"yes, but she left him a year later."
how can he do that?,"when he is almost finished with one cigarette, he uses it to light another."
What do you do for a living?,I work.
that sounds like fun.,do you think you can come?
there were more votes than voters!,but that's impossible.
please?,you know the rules.
"we can give him five more minutes, and then leave.",i'll go up front and talk to the manager.
Should this party be formal or casual?,I think it should be casual.
"all it takes is will power, and you have it.",then why can't i quit?
"i really don't know, but i don't think she gave out that many yet.","i really want to go, so i hope that she gives me my invite soon."
doctors are too expensive.,he might tell me to rest for a while.
i hate homework.,are you going to college?
did you double-check your nose and teeth?,"they are clean, too."
What did you do at night?,At night I went out to eat. The food was delicious.
i'd better see you there.,all right. i'll see you next time.
what do you need to do?,i need to withdraw some money.
Great. Which one?,That one. A group of eight just sat down at it.
What would you like to eat?,"I'd like a burger, chips and soda."
